t,phy,det,v,stat
-0.00888,-1.3064791182249634e-06,7.609670420069696e-06,,
-0.008875000000000001,9.102806407709773e-06,6.132666807516507e-06,,
-0.00887,-4.364806856857966e-06,2.612953885854733e-06,,
-0.008865,-5.558111228165748e-06,-7.089200800933219e-06,,
-0.00886,1.0393721926103394e-07,1.9894461715212656e-07,,
-0.008855,4.401065314655201e-06,-7.974299221055199e-06,,
-0.00885,2.3176917556739097e-06,4.045952243707344e-06,,
-0.008845,-2.096906969886055e-06,-6.688365839395566e-06,,
-0.00884,-2.4705742640179198e-06,1.16518646545156e-05,,
-0.008835,1.0909174410831101e-07,8.284106577301208e-08,,
-0.008830000000000001,-2.5620239286075612e-06,1.0851249142191461e-05,,
-0.008825,8.272667007306765e-05,-9.99893404608808e-06,,
-0.00882,-5.863755749930063e-06,-3.6444635511802046e-06,,
-0.008815,-6.767181921240304e-06,-1.1132283296123666e-05,,
-0.00881,-2.5515239099295935e-07,1.670142022472583e-06,,
-0.008805,4.330995459063818e-06,5.442971317019425e-06,,
-0.0088,2.4188213745085402e-06,7.46386296602306e-06,,
-0.008795,-1.590817337302676e-06,1.12882704290554e-05,,
-0.008790000000000001,-1.8356898398174238e-06,-5.128540886331728e-06,,
-0.008785000000000001,7.32172718627802e-08,-1.2195106938793232e-06,,
-0.00878,-3.049940916547507e-06,-2.3956666487284804e-05,,
-0.008775,-2.337129878209455e-05,3.193373840380751e-06,,
-0.00877,-7.365831686405378e-06,-5.368730987959637e-06,,
-0.008765,-8.403756672105785e-06,3.047177133481355e-05,,
-0.00876,-1.1010062095577726e-06,-6.394636755372036e-07,,
-0.008755,4.072281869741948e-06,1.0061455824794032e-05,,
-0.00875,2.6391253298314456e-06,-2.6543077292187366e-05,,
-0.008745,-9.961160577310612e-07,-1.4966501415743e-06,,
-0.00874,-1.2481480981199735e-06,-1.1393144494957263e-05,,
-0.008735,2.210710141200491e-07,1.1486232068790823e-05,,
-0.00873,-3.0525044911684684e-06,2.551318026440714e-06,,
-0.008725,-1.4291116710978773e-05,9.110402124096656e-06,,
-0.00872,-8.25293776005018e-06,1.10846462550827e-05,,
-0.008715,-1.0466125764380946e-05,-2.424496584924593e-06,,
-0.00871,-2.516582566852436e-06,-4.151150885500961e-06,,
-0.008705000000000001,3.5059856736844767e-06,-3.421510780401066e-05,,
-0.0087,2.854731411920263e-06,1.5145377121057246e-06,,
-0.008695,-3.7886400278104014e-07,-1.7743016350083376e-06,,
-0.00869,-6.729563456631574e-07,4.988386699199089e-05,,
-0.008685,6.157390576397881e-07,-4.6411588407603725e-07,,
-0.00868,-2.562505880294016e-06,6.809690920306208e-06,,
-0.008675,-1.1885264987777013e-05,-5.1770108394896846e-05,,
-0.00867,-2.7723510808526915e-06,-1.5300985581615682e-07,,
-0.008665,-1.273783078157349e-05,-9.552065541094803e-06,,
-0.008660000000000001,-4.508499159044251e-06,3.7532750373822376e-05,,
-0.008655,2.4958282174652244e-06,7.201848839313896e-08,,
-0.00865,2.9077244053969087e-06,9.432143252509095e-06,,
-0.008645,1.6012912625037484e-07,-9.817581871904728e-06,,
-0.00864,-1.5107095030363928e-07,5.806990489568755e-07,,
-0.008635,1.236652244010556e-06,-6.784414928946341e-06,,
-0.00863,-1.5064505419112744e-06,-2.4335565470032916e-05,,
-0.008625,-1.0315011794362069e-05,-1.375507664789237e-06,,
-0.008620000000000001,-2.3957741284280962e-05,2.629863921354944e-06,,
-0.008615000000000001,-1.4548650143007192e-05,5.547624901916368e-05,,
-0.00861,-6.8908746833828844e-06,1.7844724269826342e-06,,
-0.008605,9.615734043795075e-07,1.718116120405344e-06,,
-0.0086,2.636616708361176e-06,-7.447511106302676e-05,,
-0.008595,4.864551422198767e-07,-1.4132924555559695e-06,,
-0.00859,1.869630811615964e-07,-5.0765967863325255e-06,,
-0.008585,1.933661288923576e-06,7.516219901579925e-05,,
-0.00858,1.1447924811031125e-07,1.7091507952657295e-07,,
-0.008575,-8.271606548404113e-06,6.712429519909774e-06,,
-0.00857,-1.9410329331132662e-05,-5.610368040797549e-05,,
-0.008565,-1.402767438868465e-05,1.6804897444138217e-06,,
-0.00856,-9.124289592309132e-06,-6.479565734553818e-06,,
-0.008555,-1.0057521508598215e-06,2.1044742146739344e-05,,
-0.00855,1.9506942919027867e-06,-3.605017314080153e-06,,
-0.008545,4.807207615541139e-07,4.7641435996715905e-06,,
-0.00854,1.4958661151223983e-07,2.2046947576697716e-05,,
-0.008535000000000001,2.392483015242012e-06,4.967043608002967e-06,,
-0.00853,2.077792360246109e-06,-2.285936042098884e-06,,
-0.008525,-5.248862475640636e-06,-6.301458356781663e-05,,
-0.00852,-1.7156397177682653e-05,-5.2370913482248015e-06,,
-0.008515,-1.0442540556154764e-06,-1.6171373711737742e-07,,
-0.00851,-1.0148360053218008e-05,9.203733976349558e-05,,
-0.008505,-3.0216797798836136e-06,4.162456391157466e-06,,
-0.0085,9.358642962026432e-07,1.9481356607189863e-06,,
-0.008495,1.4384213992958634e-07,-0.0001019816655370385,,
-0.008490000000000001,-4.04802143638882e-07,-1.8524190328240655e-06,,
-0.008485,2.1822731281113672e-06,-2.7545790555024834e-06,,
-0.00848,3.828005587680785e-06,9.001372342760101e-05,,
-0.008475,-1.3275476871748762e-06,-1.2421992754611677e-06,,
-0.00847,-1.3247052931174774e-05,2.609287210675333e-06,,
-0.008465,-5.916370863784246e-05,-5.8139785694234384e-05,,
-0.00846,-8.238638214318804e-06,4.443167164601165e-06,,
-0.008455,-4.3769263653882174e-06,-1.8181663293887711e-06,,
-0.008450000000000001,-7.28315579484215e-08,1.2628597412096624e-05,,
-0.008445000000000001,-2.833385895576676e-07,-7.015815860088031e-06,,
-0.00844,-1.371405974434993e-06,8.280538491237747e-07,,
-0.008435,9.633832807128721e-07,3.746618351362534e-05,,
-0.00843,4.526184596153913e-06,8.348333823644978e-06,,
-0.008425,2.704589481937848e-06,-7.158625216530947e-08,,
-0.00842,-7.399509778027486e-06,-8.228484563532271e-05,,
-0.008415,-2.8392758513371184e-05,-8.093614723826872e-06,,
-0.00841,-5.10823838080622e-07,-1.6083693881024648e-07,,
-0.008405,-4.245532114305837e-06,0.00011317609360067566,,
-0.0084,-5.831323918841828e-07,6.242053843037537e-06,,
-0.008395,-3.130839358120461e-07,-2.085183917963661e-07,,
-0.00839,-2.2147540087294546e-06,-0.00012432646007927396,,
-0.008385,-1.1409786270071577e-06,-3.1139670087052624e-06,,
-0.00838,3.409452169438612e-06,1.0421923485075696e-06,,
-0.008375,5.433576150402086e-06,0.00011371356955607327,,
-0.00837,-7.25193525338623e-07,-7.195089639940203e-07,,
-0.008365000000000001,-1.6326682323491462e-05,-2.0439855206219096e-06,,
-0.00836,2.3640078426363484e-05,-8.326493804958389e-05,,
-0.008355,-2.2203180170719772e-06,4.562851936182387e-06,,
-0.00835,-3.148966095704174e-07,2.851962800756175e-06,,
-0.008345,5.002055427949267e-07,3.8275968454652636e-05,,
-0.00834,-2.044135074197832e-06,-7.738222139096064e-06,,
-0.008335,-3.212424523777622e-06,-3.1400271350619218e-06,,
-0.00833,4.615055373311211e-07,1.3723409788016468e-05,,
-0.008325,5.425585545019033e-06,9.712141510280071e-06,,
-0.008320000000000001,4.576756554157376e-06,2.7022257554320085e-06,,
-0.008315,-5.509885193819757e-06,-6.438586224810972e-05,,
-0.00831,-0.0001363901530686881,-1.0183069564812419e-05,,
-0.008305,1.0147699763527769e-06,-1.5019227698960574e-06,,
-0.0083,2.753273832209575e-07,0.0001059650248911161,,
-0.008295,1.9477976515210873e-06,9.11738970727458e-06,,
-0.00829,-2.1905928227029377e-07,-3.2143180557101124e-07,,
-0.008285,-3.7032680919361566e-06,-0.00013249247430250258,,
-0.008280000000000001,-2.993212195687249e-06,-6.733286708219839e-06,,
-0.008275000000000001,2.3505986494466147e-06,2.4846907323502527e-06,,
-0.00827,6.235088098465013e-06,0.00014054798090730084,,
-0.008265,2.6385164361557123e-06,3.4421271970833293e-06,,
-0.00826,-1.4263095245495846e-05,-4.621363371259241e-06,,
-0.008255,3.512355149449952e-06,-0.00012955131325467556,,
-0.00825,-1.0461914695264739e-07,2.3649807437508205e-07,,
-0.008245,2.6848669176337633e-06,6.354520836894087e-06,,
-0.00824,2.6344301138487787e-06,0.00010159376292558225,,
-0.008235,-1.5101127528935129e-06,-3.7676009217109643e-06,,
-0.00823,-4.563946287225942e-06,-7.366507106705533e-06,,
-0.008225,-2.071994854527187e-06,-6.089874711966411e-05,,
-0.00822,3.6148776951390332e-06,6.684550300433372e-06,,
-0.008215,5.7555215272970486e-06,7.452641742243219e-06,,
-0.00821,4.7456253952318465e-07,1.3044536865130147e-05,,
-0.008205,3.231234533553591e-06,-8.651158742362665e-06,,
-0.0082,-2.4194079349526904e-06,-6.550951749663175e-06,,
-0.008195000000000001,8.70748533362884e-07,3.5903376892941625e-05,,
-0.00819,4.159023011130362e-06,9.495300523362016e-06,,
-0.008185,2.4254817586834747e-06,4.745577977357676e-06,,
-0.00818,-2.5114479861379076e-06,-8.021412812396727e-05,,
-0.008175,-4.56330113747297e-06,-9.213153506616958e-06,,
