pfa_glrt,pd_glrt,pfa_ed,pd_ed
0.0005,0.0005,0.0015,0.0015
0.0005,0.0005,0.0015,0.0015
0.0005,0.0005,0.0015,0.0015
0.0005,0.0005,0.0015,0.0015
0.0005,0.0005,0.0015,0.0015
0.0005,0.0005,0.0015,0.0015
0.0005,0.0005,0.0015,0.0015
0.0005,0.0005,0.0015,0.0015
0.0005,0.0005,0.0015,0.0015
0.0005,0.0005,0.0015,0.0015
0.0005,0.0005,0.001,0.0015
0.0005,0.0005,0.001,0.001
0.0005,0.0005,0.001,0.001
0.0005,0.0005,0.001,0.001
0.0005,0.0005,0.001,0.001
0.0005,0.0005,0.001,0.001
0.0005,0.0005,0.001,0.001
0.0005,0.0005,0.001,0.001
0.0005,0.0005,0.001,0.001
0.0005,0.0005,0.0005,0.0005
0.0005,0.0005,0.0005,0.0005
0.0005,0.0005,0.0005,0.0005
0.0005,0.0005,0.0005,0.0005
0.0005,0.0005,0.0005,0.0005
0.0005,0.0005,0.0005,0.0005
0.0005,0.0005,0.0005,0.0005
0.0005,0.0005,0.0005,0.0005
0.0005,0.0005,0.0005,0.0005
0.0005,0.0005,0.0005,0.0005
0.0005,0.0005,0.0005,0.0005
0.0005,0.0005,0.0005,0.0005
0.0005,0.0005,0.0005,0.0005
0.0005,0.0005,0.0005,0.0005
0.0005,0.0005,0.0005,0.0005
0.0005,0.0005,0.0005,0.0005
0.0005,0.0005,0.0005,0.0005
0.0005,0.0005,0.0005,0.0005
0.0005,0.0005,0.0005,0.0005
0.0005,0.0005,0.0005,0.0005
0.0005,0.0005,0.0005,0.0005
0.0005,0.0005,0.0005,0.0005
0.0005,0.0005,0.0005,0.0005
0.0005,0.0005,0.0005,0.0005
0.0005,0.0005,0.0005,0.0005
0.0005,0.0005,0.0005,0.0005
0.0005,0.0005,0.0005,0.0005
0.0005,0.0005,0.0005,0.0005
0.0005,0.0005,0.0005,0.0005
0.0005,0.0005,0.0005,0.0005
0.0005,0.0005,0.0005,0.0005
0.0005,0.0005,0.0005,0.0005
0.0005,0.0005,0.0005,0.0005
0.0005,0.0005,0.0005,0.0005
0.0005,0.0005,0.0005,0.0005
0.0005,0.0005,0.0005,0.0005
0.0005,0.0005,0.0005,0.0005
0.0005,0.0005,0.0005,0.0005
0.0005,0.0005,0.0005,0.0005
0.0005,0.0005,0.0005,0.0005
0.0005,0.0005,0.0005,0.0005
0.0005,0.0005,0.0005,0.0005
0.0005,0.0005,0.0005,0.0005
0.0005,0.0005,0.0005,0.0005
0.0005,0.0005,0.0005,0.0005
0.0005,0.0005,0.0005,0.0005
0.0005,0.0005,0.0,0.0005
0.0,0.0,0.0,0.0
