freq,psd
4287.109375,4.5291097100727976e-26
4296.875,4.8403932680437125e-26
4306.640625,5.332908242921322e-26
4316.40625,4.8186123545923467e-26
4326.171875,4.627291115573838e-26
4335.9375,4.523744349757754e-26
4345.703125,3.352393826944284e-26
4355.46875,3.806380300239376e-26
4365.234375,4.28292872617994e-26
4375.0,3.741314565552395e-26
4384.765625,3.552413342934426e-26
4394.53125,4.1214870191164706e-26
4404.296875,3.955729202382905e-26
4414.0625,3.754138603613661e-26
4423.828125,3.814641404843989e-26
4433.59375,4.0124461304020036e-26
4443.359375,3.385789699746659e-26
4453.125,3.503508530158053e-26
4462.890625,3.4098580479087637e-26
4472.65625,3.345173941172596e-26
4482.421875,3.502905962172278e-26
4492.1875,3.9941923156741846e-26
4501.953125,3.4159916738745804e-26
4511.71875,3.152134055123658e-26
4521.484375,3.240163348697364e-26
4531.25,2.973606027575606e-26
4541.015625,3.3486279985209474e-26
4550.78125,3.005337663392278e-26
4560.546875,2.8148138280168047e-26
4570.3125,3.319136205147752e-26
4580.078125,3.0877917148223334e-26
4589.84375,2.8052170145067065e-26
4599.609375,2.658308252505252e-26
4609.375,2.578328388910995e-26
4619.140625,2.964352404814269e-26
4628.90625,3.005918277231183e-26
4638.671875,2.6890544291651767e-26
4648.4375,2.7112803262996416e-26
4658.203125,2.607336464747712e-26
4667.96875,2.703180235385653e-26
4677.734375,2.9205624494267297e-26
4687.5,2.5410775909912967e-26
4697.265625,2.191408957414092e-26
4707.03125,2.4444141827560974e-26
4716.796875,2.25029796532527e-26
4726.5625,2.1702582420853054e-26
4736.328125,2.1172559642482663e-26
4746.09375,2.0327586225604078e-26
4755.859375,1.9623195222339946e-26
4765.625,2.0365803907107465e-26
4775.390625,2.2364456556473472e-26
4785.15625,1.8717320656226492e-26
4794.921875,1.767077017121033e-26
4804.6875,1.7647327822919695e-26
4814.453125,1.8619385323378585e-26
4824.21875,1.827184028872486e-26
4833.984375,1.9464642525742252e-26
4843.75,1.7997504839389088e-26
4853.515625,1.6393183160639634e-26
4863.28125,1.6715468585210365e-26
4873.046875,1.7363281879814075e-26
4882.8125,1.7874032893479527e-26
4892.578125,1.4417137323052496e-26
4902.34375,1.661762656742136e-26
4912.109375,1.778432117297963e-26
4921.875,1.7076426222209702e-26
4931.640625,1.608267174845746e-26
