space,input,output
0.3306613226452906,0.9993538994667621,0.9994712722502833
0.33266533066132264,0.9992605591200387,0.9993948718841338
0.33466933867735466,0.9991550925194802,0.9993085409875
0.3366733466933867,0.9990361328157326,0.9992111587598311
0.3386773547094188,0.9989021890079982,0.9991015022003956
0.34068136272545085,0.9987516387016356,0.998978240040903
0.3426853707414829,0.9985827209792744,0.9988399267426258
0.344689378757515,0.9983935294744599,0.9986849966261783
0.34669338677354705,0.9981820057466895,0.9985117582096229
0.3486973947895791,0.9979459330665474,0.9983183888381124
0.3507014028056112,0.997682930729341,0.9981029296956783
0.35270541082164325,0.9973904490250006,0.9978632812969547
0.3547094188376753,0.9970657650008666,0.9975971995634522
0.3567134268537074,0.9967059791621197,0.9973022925953327
0.35871743486973945,0.9963080132618242,0.9969760182553217
0.3607214428857715,0.9958686093385988,0.9966156826863226
0.3627254509018036,0.9953843301645804,0.9962184398882924
0.36472945891783565,0.9948515612693541,0.9957812924828469
0.3667334669338677,0.9942665147066465,0.9953010937957667
0.3687374749498998,0.9936252347295668,0.9947745513879128
0.37074148296593185,0.9929236055368108,0.9941982321638838
0.3727454909819639,0.9921573612462742,0.993568569184968
0.374749498997996,0.991322098243765,0.9928818703084017
0.37675350701402804,0.9904132900427723,0.9921343287685722
0.3787575150300601,0.9894263047763798,0.9913220358074881
0.3807615230460922,0.9883564254243155,0.9904409954515065
0.38276553106212424,0.9871988728567015,0.9894871415189235
0.38476953907815625,0.9859488317513109,0.9884563569285103
0.3867735470941883,0.9846014794130633,0.9873444953624321
0.3887775551102204,0.9831520174931951,0.9861474053181818
0.39078156312625245,0.9815957065711706,0.9848609565632184
0.3927855711422845,0.9799279035251717,0.9834810689829198
0.3947895791583166,0.9781441015772105,0.9820037437873158
0.39679358717434865,0.976239972856897,0.9804250970148847
0.3987975951903807,0.9742114132840998,0.978741395242574
0.4008016032064128,0.9720545895256574,0.9769490933802091
0.40280561122244485,0.9697659877354843,0.9750448743947716
0.4048096192384769,0.9673424637415102,0.9730256907756965
0.406813627254509,0.9647812942975641,0.9708888075166727
0.40881763527054105,0.9620802289742991,0.968631846352542
0.4108216432865731,0.9592375422213208,0.9662528309521132
0.4128256513026052,0.9562520850936244,0.9637502327293465
0.41482965931863724,0.9531233361000827,0.961123016896795
0.4168336673346693,0.9498514506008691,0.9583706883468996
0.4188376753507014,0.9464373081551497,0.9554933369092369
0.42084168336673344,0.9428825572009178,0.9524916814957533
0.4228456913827655,0.9391896564361919,0.9493671126121055
0.4248496993987976,0.9353619122656384,0.946121732682249
0.42685370741482964,0.9314035116795906,0.9427583936062868
0.4288577154308617,0.9273195499439276,0.9392807309492803
0.4308617234468938,0.9231160524997299,0.9356931941422473
0.43286573146292584,0.9187999905013202,0.932001072067043
0.4348697394789579,0.9143792894603479,0.9282105133953116
0.4368737474949899,0.9098628305119825,0.9243285410593286
0.438877755511022,0.9052604438768592,0.9203630602503187
0.44088176352705405,0.9005828941588516,0.9163228593687472
0.4428857715430861,0.895841857193525,0.912217603391859
0.4448897795591182,0.8910498882446011,0.9080578191770806
0.44689378757515025,0.8862203814351047,0.9038548722861013
0.4488977955911823,0.8813675203951051,0.8996209349936556
0.4509018036072144,0.8765062202079767,0.8953689452369686
0.45290581162324645,0.871652060840639,0.8911125563659086
0.4549098196392785,0.866821212348925,0.8868660776691191
0.4569138276553106,0.8620303522556085,0.8826444057764204
0.45891783567134264,0.8572965756041532,0.8784629471707726
0.4609218436873747,0.8526372982943461,0.8743375321819605
0.4629258517034068,0.8480701544050429,0.8702843209764058
0.46492985971943884,0.8436128883026632,0.8663197022003675
0.4669338677354709,0.839283242420279,0.862460185074289
