pfa_ideal,pd_ideal,pfa_prop,pd_prop,pfa_naive,pd_naive,pfa_ed,pd_ed
0.0,0.328,0.0,0.386,0.0,0.254,0.578,0.652
0.0,0.324,0.0,0.384,0.0,0.254,0.568,0.646
0.0,0.324,0.0,0.382,0.0,0.252,0.568,0.636
0.0,0.322,0.0,0.378,0.0,0.248,0.562,0.628
0.0,0.314,0.0,0.374,0.0,0.244,0.554,0.624
0.0,0.302,0.0,0.37,0.0,0.242,0.546,0.62
0.0,0.302,0.0,0.362,0.0,0.236,0.54,0.612
0.0,0.296,0.0,0.354,0.0,0.236,0.54,0.604
0.0,0.292,0.0,0.35,0.0,0.232,0.536,0.6
0.0,0.28,0.0,0.344,0.0,0.228,0.534,0.596
0.0,0.274,0.0,0.336,0.0,0.22,0.532,0.592
0.0,0.27,0.0,0.332,0.0,0.216,0.524,0.586
0.0,0.266,0.0,0.328,0.0,0.216,0.516,0.578
0.0,0.256,0.0,0.328,0.0,0.216,0.512,0.572
0.0,0.256,0.0,0.316,0.0,0.216,0.506,0.564
0.0,0.252,0.0,0.31,0.0,0.212,0.5,0.56
0.0,0.248,0.0,0.304,0.0,0.208,0.494,0.554
0.0,0.246,0.0,0.3,0.0,0.206,0.49,0.55
0.0,0.24,0.0,0.294,0.0,0.206,0.478,0.542
0.0,0.234,0.0,0.294,0.0,0.204,0.47,0.536
0.0,0.232,0.0,0.288,0.0,0.2,0.462,0.53
0.0,0.23,0.0,0.282,0.0,0.2,0.456,0.528
0.0,0.226,0.0,0.278,0.0,0.196,0.444,0.522
0.0,0.224,0.0,0.274,0.0,0.192,0.438,0.518
0.0,0.222,0.0,0.27,0.0,0.192,0.428,0.514
0.0,0.218,0.0,0.266,0.0,0.19,0.422,0.504
0.0,0.212,0.0,0.264,0.0,0.19,0.416,0.496
0.0,0.21,0.0,0.258,0.0,0.186,0.412,0.49
0.0,0.208,0.0,0.25,0.0,0.182,0.408,0.478
0.0,0.204,0.0,0.246,0.0,0.182,0.4,0.472
0.0,0.202,0.0,0.242,0.0,0.182,0.4,0.47
0.0,0.2,0.0,0.236,0.0,0.178,0.396,0.458
0.0,0.2,0.0,0.236,0.0,0.178,0.394,0.45
0.0,0.198,0.0,0.236,0.0,0.176,0.392,0.45
0.0,0.194,0.0,0.232,0.0,0.176,0.386,0.448
0.0,0.192,0.0,0.232,0.0,0.176,0.386,0.446
0.0,0.19,0.0,0.232,0.0,0.174,0.386,0.442
0.0,0.19,0.0,0.23,0.0,0.174,0.378,0.44
0.0,0.188,0.0,0.226,0.0,0.17,0.374,0.438
0.0,0.182,0.0,0.22,0.0,0.17,0.372,0.432
0.0,0.176,0.0,0.216,0.0,0.17,0.37,0.432
0.0,0.176,0.0,0.214,0.0,0.168,0.364,0.426
0.0,0.17,0.0,0.212,0.0,0.168,0.36,0.426
0.0,0.166,0.0,0.21,0.0,0.164,0.358,0.42
0.0,0.164,0.0,0.208,0.0,0.162,0.354,0.412
